unit,variable,factor
mm,l,1000000
cm,l,100000
m,l,1000
km,l,1
in,l,39370.08
ft,l,3280.84
yd,l,1093.613
mi,l,0.621371
mm2,a,100
cm2,a,1
m2,a,0.0001
in2,a,0.155
ft2,a,0.001076
yd2,a,0.00012
cm3,v,1000000
m3,v,1
ltr,v,1000
in3,v,61024
ft3,v,35
usgal,v,264
impgal,v,220
usbrl,v,6.29
g,m,1000
kg,m,1
tonne,m,0.001
shton,m,0.001102
lton,m,0.000984
lb,m,2.204586
oz,m,35.27337
gpml,d,1
kgpm3,d,1000
lbpft3,d,62.42197
lbpin3,d,0.036127
mps,s,0.2778
mpmin,s,16.66467
kmph,s,1
ftps,s,0.911417
ftpmin,s,54.68504
miph,s,0.621477
nm,t,1
kgfm,t,0.101972
ftlb,t,0.737561
inlb,t,8.850732
bar,p,10
psi,p,145.03
kpa,p,1000
mpa,p,1
kgfpcm2,p,10.197
mmhg,p,7500.2
atm,p,9.8717
mh2o,plow,1
fth2o,plow,3.280696
cmhg,plow,7.356339
inhg,plow,2.896043
inh2o,plow,39.36572
pa,plow,9806
kgph,mf,3600
lbphour,mf,7936.508
kgps,mf,1
tph,mf,3.6
cp,dv,100
poise,dv,1
lbpfts,dv,0.067197
cs,kv,1000000
st,kv,10000
ft2ps,kv,10.76392
m2ps,kv,1
lpsec,vlf,0.277778
lpmin,vlf,16.6667
m3phr,vlf,1
ft3pmin,vlf,0.588637
ft3phr,vlf,35.31102
galpmin,vlf,4.40288
usbrlpd,vlf,150.9661
nm3phr,vgf,1
scfh,vgf,35.31073
scfm,vgf,0.588582